"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
362,"FCPT","Four Corners Property Trust Inc","Real Estate","REIT - Retail","USA",2813.86,23.51,25.64,-0.54%,821926
363,"FDS","Factset Research Systems Inc","Financial","Financial Data & Stock Exchanges","USA",7629.46,13.08,205.65,1.01%,690369
364,"FELE","Franklin Electric Co., Inc","Industrials","Specialty Industrial Machinery","USA",4018.42,28.30,90.91,-0.37%,234534
365,"FFBC","First Financial Bancorp","Financial","Banks - Regional","USA",2815.46,10.13,26.92,-0.41%,623086
366,"FFIN","First Financial Bankshares, Inc","Financial","Banks - Regional","USA",4233.84,16.72,29.56,-0.17%,750541
367,"FG","F&G Annuities & Life Inc","Financial","Insurance - Life","USA",2839.68,11.80,20.94,1.21%,635985
368,"FHB","First Hawaiian INC","Financial","Banks - Regional","USA",2938.41,10.88,23.95,0.29%,1318589
369,"FHI","Federated Hermes Inc","Financial","Asset Management","USA",4329.80,11.11,56.99,0.78%,830787
370,"FIBK","First Interstate BancSystem Inc","Financial","Banks - Regional","USA",3350.05,11.25,33.13,-0.30%,1049501
371,"FIGR","Figure Technology Solutions Inc","Financial","Capital Markets","USA",7562.03,,35.07,-2.96%,4709872
372,"FIGS","Figs Inc","Consumer Cyclical","Apparel Manufacturing","USA",2470.70,79.75,14.85,-1.00%,2437405
373,"FIZZ","National Beverage Corp","Consumer Defensive","Beverages - Non-Alcoholic","USA",3345.47,17.80,35.73,4.32%,451357
374,"FLG","Flagstar Bank NA","Financial","Banks - Regional","USA",5075.12,,12.20,-0.33%,5229275
375,"FLNC","Fluence Energy Inc","Utilities","Utilities - Renewable","USA",3012.86,,16.38,-0.24%,3394761
376,"FLOC","Flowco Holdings Inc","Energy","Oil & Gas Equipment & Services","USA",2044.31,49.51,22.80,2.43%,283774
377,"FLR","Fluor Corporation","Industrials","Engineering & Construction","USA",6305.21,,43.02,-1.06%,1910452
378,"FLS","Flowserve Corp","Industrials","Specialty Industrial Machinery","USA",9454.17,28.31,74.29,-1.84%,1549930
379,"FLY","Firefly Aerospace Inc","Industrials","Aerospace & Defense","USA",3737.62,,23.47,1.03%,5604785
380,"FNB","F.N.B. Corp","Financial","Banks - Regional","USA",5661.04,10.13,15.84,-1.43%,4835024
381,"FND","Floor & Decor Holdings Inc","Consumer Cyclical","Home Improvement Retail","USA",6148.89,29.62,57.00,2.30%,1560743
382,"FOLD","Amicus Therapeutics Inc","Healthcare","Biotechnology","USA",4512.19,,14.37,0.00%,2738134
383,"FORM","FormFactor Inc","Technology","Semiconductor Equipment & Materials","USA",7006.38,129.34,89.92,1.72%,665101
384,"FOUR","Shift4 Payments Inc","Technology","Software - Infrastructure","USA",4426.75,40.43,43.33,-1.32%,1675945
385,"FPS","Forgent Power Solutions Inc","Industrials","Electrical Equipment & Parts","USA",9428.16,,31.01,-3.24%,3149507
386,"FR","First Industrial Realty Trust, Inc","Real Estate","REIT - Industrial","USA",8208.34,32.21,60.12,-0.11%,970040
387,"FRHC","Freedom Holding Corp","Financial","Financial Conglomerates","Kazakhstan",8076.54,3350.00,131.99,-1.40%,84706
